Leeftijd;Sterftekans;Levenden;Overledenen;Levensverwachting
0;0.00305;100000;305;81.92
1;0.00032;99695;32;81.66
2;0.00019;99663;19;80.69
3;0.00013;99643;13;79.71
4;9e-05;99631;9;78.72
5;6e-05;99622;6;77.72
6;5e-05;99617;5;76.73
7;8e-05;99612;8;75.73
8;0.0001;99604;10;74.74
9;0.0001;99594;10;73.74
10;8e-05;99584;8;72.75
11;0.00014;99576;14;71.76
12;7e-05;99562;7;70.77
13;8e-05;99555;8;69.77
14;0.00012;99547;12;68.78
15;0.00015;99535;15;67.79
16;0.00015;99520;15;66.8
17;0.00017;99505;17;65.81
18;0.00023;99487;23;64.82
19;0.00025;99465;25;63.83
20;0.00025;99440;25;62.85
21;0.00027;99414;27;61.86
22;0.00031;99387;30;60.88
23;0.0003;99357;30;59.9
24;0.00027;99327;27;58.92
25;0.00036;99300;35;57.93
26;0.00027;99265;27;56.95
27;0.0003;99237;30;55.97
28;0.00038;99208;38;54.99
29;0.00044;99170;43;54.01
30;0.00037;99127;36;53.03
31;0.0004;99091;40;52.05
32;0.00047;99051;47;51.07
33;0.00043;99004;43;50.09
34;0.00054;98961;54;49.12
35;0.00055;98908;55;48.14
36;0.00063;98853;63;47.17
37;0.00067;98790;66;46.2
38;0.00064;98724;63;45.23
39;0.00074;98661;73;44.26
40;0.00082;98587;80;43.29
41;0.0008;98507;79;42.32
42;0.001;98428;99;41.36
43;0.00097;98329;96;40.4
44;0.0012;98233;118;39.44
45;0.00134;98115;131;38.49
46;0.00126;97984;124;37.54
47;0.00144;97861;141;36.58
48;0.00156;97720;153;35.63
49;0.00179;97567;174;34.69
50;0.00199;97393;194;33.75
51;0.00218;97199;212;32.82
52;0.00233;96987;226;31.89
53;0.00267;96761;258;30.96
54;0.00298;96503;287;30.04
55;0.00314;96216;302;29.13
56;0.00349;95914;335;28.22
57;0.00377;95579;360;27.32
58;0.00433;95219;413;26.42
59;0.00458;94806;434;25.53
60;0.00511;94372;482;24.65
61;0.00558;93890;524;23.77
62;0.00615;93366;574;22.9
63;0.00715;92792;663;22.04
64;0.00783;92129;722;21.2
65;0.00871;91407;797;20.36
66;0.00942;90610;854;19.53
67;0.01035;89757;929;18.71
68;0.01186;88828;1054;17.91
69;0.01333;87774;1170;17.11
70;0.0144;86604;1247;16.34
71;0.01628;85358;1390;15.57
72;0.01769;83968;1485;14.82
73;0.01943;82482;1602;14.08
74;0.02072;80880;1676;13.35
75;0.02367;79204;1875;12.62
76;0.02605;77330;2014;11.91
77;0.02985;75316;2248;11.22
78;0.03244;73068;2371;10.55
79;0.03727;70697;2635;9.88
80;0.04359;68063;2967;9.25
81;0.04629;65096;3014;8.65
82;0.052;62082;3228;8.04
83;0.06083;58854;3580;7.45
84;0.06838;55274;3779;6.9
85;0.07767;51494;4000;6.38
86;0.08773;47495;4167;5.87
87;0.1026;43328;4445;5.39
88;0.11704;38882;4551;4.94
89;0.13301;34332;4567;4.53
90;0.15412;29765;4587;4.15
91;0.17209;25178;4333;3.82
92;0.19346;20845;4033;3.51
93;0.2165;16812;3640;3.23
94;0.23536;13172;3100;2.98
95;0.26348;10072;2654;2.75
96;0.2853;7418;2116;2.55
97;0.30672;5302;1626;2.37
98;0.32925;3676;1210;2.2
99;0.3942;2465;972;2.04
